ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIRLINE,DISTANCE,ARRIVAL_DELAY,DAY_OF_WEEK,SCHEDULED_DEPARTURE
OKC,SLC,OO,866.0,20.0,4,1339
SFO,SNA,UA,372.0,-3.0,4,1340
PHX,DCA,US,1979.0,-14.0,4,1340
PHL,PHX,US,2075.0,22.0,4,1340
PHL,CLT,US,449.0,-9.0,4,1340
ORD,PHL,UA,678.0,-26.0,4,1340
LAX,JFK,VX,2475.0,-27.0,4,1340
SFO,LAS,VX,414.0,-7.0,4,1340
ATL,RSW,WN,515.0,5.0,4,1340
BWI,BOS,WN,369.0,1.0,4,1340
CAK,TPA,WN,894.0,-2.0,4,1340
DEN,DAL,WN,651.0,12.0,4,1340
LAS,AUS,WN,1090.0,16.0,4,1340
MDW,MSP,WN,349.0,0.0,4,1340
MDW,PVD,WN,842.0,-6.0,4,1340
PVD,TPA,WN,1136.0,0.0,4,1340
SAN,ATL,WN,1892.0,40.0,4,1340
SAN,MCI,WN,1334.0,11.0,4,1340
SAT,PHX,WN,843.0,24.0,4,1340
SFO,SAN,WN,447.0,36.0,4,1340
SNA,OAK,WN,371.0,-8.0,4,1340
STL,MDW,WN,251.0,-12.0,4,1340
STL,RSW,WN,979.0,-7.0,4,1340
STL,SFO,WN,1735.0,-21.0,4,1340
HOU,MDW,WN,937.0,16.0,4,1340
LAS,EWR,UA,2227.0,-35.0,4,1340
SJU,EWR,UA,1608.0,0.0,4,1340
SFO,PHL,US,2521.0,13.0,4,1340
EWR,PHX,US,2133.0,10.0,4,1340
HNL,LAX,AA,2556.0,-2.0,4,1340
MIA,DTW,AA,1145.0,6.0,4,1340
DFW,DAY,AA,861.0,47.0,4,1340
BOS,ORD,AA,867.0,6.0,4,1340
DFW,RIC,AA,1158.0,21.0,4,1340
ANC,SEA,AS,1448.0,-10.0,4,1340
LAS,JFK,B6,2248.0,-17.0,4,1340
RDU,BOS,B6,612.0,1.0,4,1340
SJU,ATL,DL,1547.0,-17.0,4,1340
DFW,SAN,AA,1171.0,5.0,4,1340
MCO,DFW,AA,985.0,2.0,4,1340
BWI,ATL,DL,577.0,-21.0,4,1340
ATL,IND,DL,432.0,-7.0,4,1340
LAX,LAS,AA,236.0,7.0,4,1340
LIT,DFW,EV,304.0,1.0,4,1340
IAH,JAX,EV,817.0,-9.0,4,1340
ATL,DFW,EV,731.0,3.0,4,1340
OGG,HNL,HA,100.0,30.0,4,1340
SDF,ORD,MQ,287.0,-12.0,4,1340
DSM,ORD,MQ,299.0,-9.0,4,1340
DFW,SPI,MQ,630.0,0.0,4,1340
DFW,ATL,NK,731.0,21.0,4,1340
SEA,FAT,OO,748.0,1.0,4,1340
SFO,PDX,OO,550.0,-3.0,4,1340
SAT,LAX,OO,1211.0,10.0,4,1340
ATL,OKC,DL,761.0,-8.0,4,1341
ATL,GSP,DL,153.0,-4.0,4,1341
LAS,LAX,NK,236.0,-8.0,4,1341
DEN,ORD,NK,888.0,21.0,4,1341
HNL,OGG,HA,100.0,-6.0,4,1341
FLL,BOS,B6,1237.0,18.0,4,1342
ATL,ORD,DL,606.0,-10.0,4,1342
ATL,LIT,DL,453.0,-19.0,4,1342
RDU,EWR,EV,416.0,-8.0,4,1342
IAH,JAN,EV,351.0,-1.0,4,1342
DEN,MSP,EV,680.0,-2.0,4,1342
DFW,BWI,NK,1217.0,-19.0,4,1342
ACY,TPA,NK,913.0,-8.0,4,1342
LAS,IAD,UA,2065.0,-22.0,4,1343
BOS,SJU,B6,1674.0,-22.0,4,1343
ATL,BUF,DL,712.0,-7.0,4,1343
SLC,LAX,DL,590.0,-7.0,4,1343
EWR,IND,EV,645.0,3.0,4,1343
APN,DTW,OO,198.0,23.0,4,1343
BOS,EWR,UA,200.0,-7.0,4,1344
SMF,ORD,UA,1781.0,12.0,4,1344
ATL,CHS,DL,259.0,-3.0,4,1344
ATL,IAH,DL,689.0,1.0,4,1344
PHX,JFK,US,2153.0,-30.0,4,1345
PHL,LAX,US,2402.0,-7.0,4,1345
SJU,CLT,US,1475.0,-9.0,4,1345
BWI,CLT,US,361.0,-13.0,4,1345
DCA,CLT,US,331.0,10.0,4,1345
PHL,PIT,US,268.0,-2.0,4,1345
SFO,JFK,VX,2586.0,8.0,4,1345
BOI,LAS,WN,519.0,-6.0,4,1345
BOS,ATL,WN,946.0,-10.0,4,1345
BUR,LAS,WN,223.0,0.0,4,1345
CLE,BWI,WN,314.0,-19.0,4,1345
DEN,AUS,WN,775.0,18.0,4,1345
DEN,MSP,WN,680.0,8.0,4,1345
DEN,OMA,WN,472.0,8.0,4,1345
DEN,SLC,WN,391.0,38.0,4,1345
EWR,PHX,WN,2133.0,40.0,4,1345
HOU,ABQ,WN,759.0,-6.0,4,1345
IND,ATL,WN,432.0,2.0,4,1345
IND,DEN,WN,977.0,-7.0,4,1345
LAS,BWI,WN,2106.0,-13.0,4,1345
LAS,MKE,WN,1524.0,18.0,4,1345
LAX,LAS,WN,236.0,7.0,4,1345
LAX,PHX,WN,370.0,47.0,4,1345
MDW,DEN,WN,895.0,22.0,4,1345
OAK,HOU,WN,1642.0,22.0,4,1345
AMA,LAS,WN,758.0,5.0,4,1345
ATL,DCA,WN,547.0,23.0,4,1345
PHX,GEG,WN,1020.0,-7.0,4,1345
RNO,LAS,WN,345.0,5.0,4,1345
TPA,BWI,WN,842.0,-9.0,4,1345
TPA,MCI,WN,1048.0,0.0,4,1345
PHL,MCO,WN,861.0,-2.0,4,1345
PHX,ABQ,WN,328.0,-1.0,4,1345
EWR,IAH,UA,1400.0,14.0,4,1345
DFW,OKC,AA,175.0,6.0,4,1345
ORD,MIA,AA,1197.0,150.0,4,1345
ATL,DFW,AA,731.0,16.0,4,1345
DFW,MEM,AA,432.0,-6.0,4,1345
PDX,LAX,AS,834.0,1.0,4,1345
PHX,PDX,AS,1009.0,-2.0,4,1345
BOS,JAX,B6,1010.0,-8.0,4,1345
DTW,ATL,DL,594.0,-29.0,4,1345
ATL,BWI,DL,577.0,-15.0,4,1345
DTW,MSP,DL,528.0,6.0,4,1345
LAS,ATL,DL,1747.0,-10.0,4,1345
ATL,EYW,DL,646.0,-14.0,4,1345
TPA,ATL,DL,406.0,-6.0,4,1345
FLL,ATL,DL,581.0,-18.0,4,1345
ATL,CLT,DL,226.0,14.0,4,1345
MDW,ATL,DL,591.0,-5.0,4,1345
SLC,JAC,DL,205.0,71.0,4,1345
ATL,LGA,DL,762.0,19.0,4,1345
MEM,ATL,DL,332.0,-17.0,4,1345
IAH,GPT,EV,376.0,-3.0,4,1345
ATL,SHV,EV,551.0,-2.0,4,1345
MIA,LGA,F9,1096.0,16.0,4,1345
MOT,DEN,F9,604.0,-8.0,4,1345
DFW,PNS,MQ,604.0,50.0,4,1345
BDL,ORD,MQ,783.0,-22.0,4,1345
DFW,CVG,MQ,812.0,2.0,4,1345
ORD,CWA,MQ,212.0,35.0,4,1345
DTW,LGA,MQ,502.0,-8.0,4,1345
SLC,ORD,OO,1250.0,-15.0,4,1345
SAF,LAX,OO,710.0,6.0,4,1345
DEN,FAR,OO,627.0,11.0,4,1345
MEM,ORD,OO,491.0,-11.0,4,1345
EUG,SFO,OO,451.0,7.0,4,1345
SLC,CNY,OO,184.0,-18.0,4,1345
ORD,FWA,OO,157.0,-11.0,4,1346
ORD,RSW,UA,1120.0,-17.0,4,1346
ATL,PNS,DL,271.0,-7.0,4,1346
LAN,DTW,EV,74.0,-34.0,4,1346
SLC,GJT,OO,216.0,4.0,4,1346
SLC,SGU,OO,272.0,-5.0,4,1346
SFO,DCA,UA,2442.0,0.0,4,1347
LGA,IAH,UA,1416.0,17.0,4,1347
SEA,IAH,UA,1874.0,-9.0,4,1347
MSN,ORD,EV,108.0,5.0,4,1347
LAX,IAH,UA,1379.0,-5.0,4,1348
SLC,COS,OO,411.0,-6.0,4,1348
CIU,DTW,OO,284.0,-5.0,4,1348
AUS,SFO,UA,1504.0,3.0,4,1349
ORD,IAH,UA,925.0,20.0,4,1349
ECP,ATL,DL,240.0,-18.0,4,1349
ORD,HSV,EV,510.0,-25.0,4,1349
LIH,HNL,HA,102.0,-7.0,4,1349
MKE,ORD,OO,67.0,-4.0,4,1349
ORD,PHL,US,678.0,15.0,4,1350
PBI,CLT,US,590.0,5.0,4,1350
AUS,CLT,US,1032.0,-5.0,4,1350
MSP,CLT,US,930.0,70.0,4,1350
DTW,CLT,US,500.0,-12.0,4,1350
DEN,LAX,UA,862.0,72.0,4,1350
ATL,MCO,WN,404.0,34.0,4,1350
DEN,STL,WN,770.0,17.0,4,1350
DTW,ATL,WN,594.0,-10.0,4,1350
ISP,TPA,WN,1034.0,16.0,4,1350
LAS,BOI,WN,519.0,65.0,4,1350
LAS,MDW,WN,1521.0,4.0,4,1350
LAS,PHX,WN,255.0,41.0,4,1350
LAS,SAT,WN,1069.0,2.0,4,1350
LAS,SLC,WN,368.0,15.0,4,1350
LAX,DEN,WN,862.0,25.0,4,1350
LAX,MSY,WN,1670.0,8.0,4,1350
MDW,BDL,WN,777.0,-10.0,4,1350
MKE,ATL,WN,669.0,-5.0,4,1350
ALB,LAS,WN,2237.0,19.0,4,1350
SAN,PHX,WN,304.0,16.0,4,1350
SFO,LAS,WN,414.0,2.0,4,1350
SJC,LAS,WN,386.0,12.0,4,1350
SMF,DEN,WN,909.0,44.0,4,1350
STL,PHX,WN,1262.0,24.0,4,1350
IAH,MCO,UA,854.0,-1.0,4,1350
SFO,IAH,UA,1635.0,5.0,4,1350
OGG,SFO,UA,2338.0,-10.0,4,1350
MCI,CLT,US,808.0,1.0,4,1350
MSY,DFW,AA,447.0,-14.0,4,1350
ORD,LAS,AA,1514.0,-8.0,4,1350
DFW,LAS,AA,1055.0,-5.0,4,1350
DFW,OMA,AA,583.0,0.0,4,1350
MEM,DFW,AA,432.0,-19.0,4,1350
FAT,DFW,AA,1313.0,1.0,4,1350
MSP,DFW,AA,852.0,31.0,4,1350
DFW,SNA,AA,1205.0,3.0,4,1350
ORD,SNA,AA,1726.0,-10.0,4,1350
SEA,SNA,AS,978.0,-4.0,4,1350
HNL,SEA,AS,2677.0,-7.0,4,1350
DCA,TPA,B6,814.0,-5.0,4,1350
TPA,SJU,B6,1237.0,56.0,4,1350
ORD,SLC,DL,1250.0,-28.0,4,1350
STT,ATL,DL,1599.0,-4.0,4,1350
ATL,MKE,DL,669.0,28.0,4,1350
SRQ,ATL,DL,444.0,-6.0,4,1350
ATL,DEN,DL,1199.0,33.0,4,1350
ATL,MSP,DL,907.0,11.0,4,1350
ATL,MIA,DL,594.0,-9.0,4,1350
ORF,ORD,EV,717.0,9.0,4,1350
EWR,BNA,EV,748.0,3.0,4,1350
ATL,DHN,EV,170.0,-7.0,4,1350
LGA,SAV,EV,722.0,-17.0,4,1350
HNL,SFO,HA,2398.0,-17.0,4,1350
MIA,CHS,MQ,489.0,4.0,4,1350
FNT,ORD,MQ,223.0,-35.0,4,1350
DFW,BTR,MQ,383.0,79.0,4,1350
ORD,MDT,MQ,594.0,70.0,4,1350
DFW,SAV,MQ,925.0,53.0,4,1350
ACV,SFO,OO,250.0,-15.0,4,1350
SLC,TWF,OO,175.0,1.0,4,1350
SLC,IDA,OO,188.0,13.0,4,1350
IAH,DAL,OO,216.0,-13.0,4,1350
ESC,DTW,OO,306.0,-13.0,4,1350
SEA,SFO,UA,679.0,-22.0,4,1351
PDX,ORD,UA,1739.0,-7.0,4,1351
ATL,MDW,DL,591.0,-8.0,4,1351
ATL,SAV,DL,214.0,-9.0,4,1351
CVG,MCO,DL,757.0,-18.0,4,1351
TPA,LGA,DL,1010.0,-20.0,4,1351
SLC,BOI,DL,290.0,2.0,4,1351
SYR,JFK,B6,209.0,6.0,4,1351
HNL,LIH,HA,102.0,43.0,4,1351
JAC,IAH,OO,1265.0,14.0,4,1351
BOI,SFO,OO,522.0,1.0,4,1351
SFO,ORD,UA,1846.0,171.0,4,1352
DFW,MIA,AA,1121.0,69.0,4,1352
IAH,LFT,EV,201.0,-11.0,4,1352
MCI,DTW,EV,629.0,-28.0,4,1353
SJU,IAH,UA,2007.0,14.0,4,1354
PHL,ORD,UA,678.0,0.0,4,1354
SHV,IAH,EV,192.0,20.0,4,1354
SLC,OMA,OO,840.0,-4.0,4,1355
SFO,DFW,UA,1464.0,1.0,4,1355
HNL,PHX,US,2917.0,282.0,4,1355
IAH,CLT,US,912.0,5.0,4,1355
ORD,CLT,US,599.0,7.0,4,1355
ATL,CLT,US,226.0,41.0,4,1355
JAX,CLT,US,328.0,7.0,4,1355
HNL,SFO,UA,2398.0,-10.0,4,1355
BUR,DEN,WN,850.0,22.0,4,1355
DAY,BWI,WN,406.0,-17.0,4,1355
DEN,SAN,WN,853.0,10.0,4,1355
HRL,HOU,WN,277.0,24.0,4,1355
LAS,ATL,WN,1747.0,-4.0,4,1355
LAS,OAK,WN,407.0,26.0,4,1355
MCO,DEN,WN,1546.0,25.0,4,1355
MDW,IAD,WN,577.0,-1.0,4,1355
MDW,MCI,WN,405.0,5.0,4,1355
OAK,BUR,WN,325.0,17.0,4,1355
PHX,ELP,WN,347.0,0.0,4,1355
SLC,OAK,WN,588.0,5.0,4,1355
SLC,PHX,WN,507.0,-5.0,4,1355
STL,LAS,WN,1371.0,-2.0,4,1355
OMA,LAS,WN,1099.0,-27.0,4,1355
EWR,FLL,UA,1065.0,-9.0,4,1355
MCO,CLT,US,468.0,-7.0,4,1355
DFW,RSW,AA,1017.0,47.0,4,1355
ORD,SFO,AA,1846.0,-24.0,4,1355
BOS,MIA,AA,1258.0,-26.0,4,1355
DFW,PIT,AA,1067.0,-6.0,4,1355
EGE,DFW,AA,721.0,56.0,4,1355
LGA,MIA,AA,1096.0,-33.0,4,1355
PSP,DFW,AA,1126.0,-10.0,4,1355
PHL,DFW,AA,1303.0,8.0,4,1355
MIA,SJU,AA,1045.0,10.0,4,1355
JNU,PSG,AS,123.0,-3.0,4,1355
SJC,PDX,AS,569.0,-12.0,4,1355
HPN,MCO,B6,972.0,-24.0,4,1355
LAX,SEA,DL,954.0,-3.0,4,1355
CVG,TPA,DL,773.0,-20.0,4,1355
ATL,TLH,DL,223.0,-7.0,4,1355
ATL,MCO,DL,404.0,2.0,4,1355
ATL,RSW,DL,515.0,-13.0,4,1355
SLC,MCO,DL,1931.0,-1.0,4,1355
DCA,ORD,AA,612.0,-6.0,4,1355
ATL,TYS,DL,152.0,-9.0,4,1355
ATL,PHL,DL,666.0,-6.0,4,1355
ATL,MCI,DL,692.0,-15.0,4,1355
SLC,JFK,DL,1990.0,4.0,4,1355
SLC,STL,DL,1156.0,-1.0,4,1355
MCI,IAH,EV,643.0,18.0,4,1355
RAP,ORD,EV,779.0,-14.0,4,1355
EWR,XNA,EV,1131.0,27.0,4,1355
DEN,ISN,EV,576.0,71.0,4,1355
ORD,DEN,F9,888.0,26.0,4,1355
PHX,SLC,F9,507.0,-5.0,4,1355
DFW,BMI,MQ,690.0,-1.0,4,1355
SPS,DFW,MQ,113.0,0.0,4,1355
LGA,DTW,MQ,502.0,-7.0,4,1355
LAX,SMF,OO,373.0,-6.0,4,1355
SAV,ATL,EV,214.0,34.0,4,1355
TUS,PDX,OO,1119.0,8.0,4,1355
SLC,IAH,OO,1195.0,52.0,4,1355
OMA,SLC,OO,840.0,-32.0,4,1355
SLC,OKC,OO,866.0,15.0,4,1355
SLC,DEN,OO,391.0,-8.0,4,1355
SFO,SMF,OO,86.0,9.0,4,1355
LAX,SBP,OO,156.0,123.0,4,1355
SGF,DEN,OO,637.0,92.0,4,1355
RSW,BOS,B6,1249.0,7.0,4,1356
TPA,IAD,UA,811.0,2.0,4,1357
MCO,IAD,UA,758.0,-6.0,4,1357
PHL,BOS,B6,280.0,-16.0,4,1357
DCA,BOS,B6,399.0,-10.0,4,1357
ATL,PBI,DL,545.0,-8.0,4,1357
SDF,IAD,EV,451.0,-16.0,4,1357
AUS,IAH,OO,140.0,14.0,4,1357
SFO,PSP,OO,421.0,-2.0,4,1357
HYS,DEN,OO,298.0,-21.0,4,1357
MCO,JFK,B6,944.0,-16.0,4,1358
TUS,ATL,DL,1541.0,-2.0,4,1358
GSP,IAH,EV,837.0,-3.0,4,1358
ORD,BTV,EV,763.0,-18.0,4,1358
MGM,ATL,EV,147.0,-11.0,4,1358
SMX,LAX,OO,134.0,5.0,4,1358
DFW,CLT,US,936.0,-10.0,4,1359
PIT,CLT,US,366.0,-4.0,4,1359
EWR,ATL,UA,746.0,37.0,4,1359
SLC,IAH,UA,1195.0,69.0,4,1359
JFK,BOS,B6,187.0,-12.0,4,1359
JFK,LGB,B6,2465.0,-12.0,4,1359
JFK,CHS,B6,636.0,-14.0,4,1359
HNL,SEA,DL,2677.0,-10.0,4,1359
LGA,ATL,DL,762.0,-36.0,4,1359
PDX,LGB,B6,846.0,-13.0,4,1359
ORD,MCI,EV,403.0,-10.0,4,1359
CVG,DEN,F9,1069.0,40.0,4,1359
MIA,EYW,MQ,125.0,-11.0,4,1359
DEN,CLE,OO,1201.0,20.0,4,1359
EWR,ORD,UA,719.0,20.0,4,1400
LIH,LAX,UA,2615.0,28.0,4,1400
MIA,PHL,US,1013.0,-13.0,4,1400
SFO,FLL,UA,2583.0,-1.0,4,1400
ORD,LGA,UA,733.0,-13.0,4,1400
SFO,EWR,VX,2565.0,-15.0,4,1400
ATL,SAT,WN,874.0,30.0,4,1400
BNA,LAX,WN,1797.0,-12.0,4,1400
BWI,SDF,WN,495.0,-7.0,4,1400
DAL,AMA,WN,323.0,14.0,4,1400
DAL,HOU,WN,239.0,8.0,4,1400
DAL,SAT,WN,248.0,26.0,4,1400
DEN,LAX,WN,862.0,-2.0,4,1400
FNT,TPA,WN,1036.0,-6.0,4,1400
GEG,DEN,WN,836.0,39.0,4,1400
HOU,DAL,WN,239.0,-7.0,4,1400
ISP,MCO,WN,971.0,3.0,4,1400
LAS,SNA,WN,226.0,30.0,4,1400
MDW,JAX,WN,849.0,0.0,4,1400
MDW,RSW,WN,1105.0,0.0,4,1400
MSP,ATL,WN,907.0,-13.0,4,1400
OAK,LAS,WN,407.0,8.0,4,1400
OAK,LAX,WN,337.0,38.0,4,1400
PHX,MCI,WN,1044.0,-7.0,4,1400
PHX,TUL,WN,935.0,-5.0,4,1400
RNO,DEN,WN,804.0,5.0,4,1400
SAN,LAS,WN,258.0,-4.0,4,1400
SJC,BUR,WN,296.0,-4.0,4,1400
SMF,ONT,WN,390.0,31.0,4,1400
SNA,SJC,WN,342.0,-1.0,4,1400
SNA,SMF,WN,404.0,-1.0,4,1400
LGA,ORD,UA,733.0,-20.0,4,1400
SFO,MCO,UA,2446.0,4.0,4,1400
ORD,EWR,UA,719.0,-22.0,4,1400
LAX,HNL,AA,2556.0,11.0,4,1400
KOA,LAX,AA,2504.0,10.0,4,1400
MIA,PHX,AA,1972.0,-12.0,4,1400
MIA,LAX,AA,2342.0,-24.0,4,1400
DFW,ABQ,AA,569.0,10.0,4,1400
DFW,SLC,AA,989.0,37.0,4,1400
STT,JFK,AA,1623.0,-13.0,4,1400
MIA,IAH,AA,964.0,29.0,4,1400
SAT,DFW,AA,247.0,0.0,4,1400
ORD,BOS,AA,867.0,-18.0,4,1400
MIA,STL,AA,1068.0,97.0,4,1400
SEA,DFW,AA,1660.0,33.0,4,1400
DFW,LAX,AA,1235.0,-11.0,4,1400
ANC,ADK,AS,1192.0,-27.0,4,1400
LGB,SEA,B6,965.0,-16.0,4,1400
BOS,PBI,B6,1197.0,143.0,4,1400
EWR,MCO,B6,937.0,-13.0,4,1400
FLL,SJU,B6,1046.0,17.0,4,1400
ATL,SFO,DL,2139.0,-20.0,4,1400
MIA,ORD,AA,1197.0,11.0,4,1400
SEA,MSP,DL,1399.0,-4.0,4,1400
PHL,ATL,DL,666.0,-23.0,4,1400
LAS,SLC,DL,368.0,3.0,4,1400
ORD,ELM,EV,566.0,-27.0,4,1400
CAE,ATL,EV,192.0,61.0,4,1400
ILM,ATL,EV,377.0,-18.0,4,1400
ATL,BTR,EV,448.0,-8.0,4,1400
CLE,MCO,F9,895.0,1.0,4,1400
DFW,DEN,F9,641.0,58.0,4,1400
HNL,OGG,HA,100.0,0.0,4,1400
CVG,ORD,MQ,265.0,-24.0,4,1400
ORD,IND,MQ,177.0,59.0,4,1400
CID,DFW,MQ,685.0,13.0,4,1400
CHA,ORD,MQ,501.0,4.0,4,1400
LGA,SDF,MQ,659.0,33.0,4,1400
DTW,MCO,NK,957.0,-1.0,4,1400
IAH,FLL,NK,965.0,-17.0,4,1400
OGG,HNL,HA,100.0,4.0,4,1400
TUS,SFO,OO,751.0,0.0,4,1400
BRD,MSP,OO,114.0,10.0,4,1400
KOA,LAX,UA,2504.0,4.0,4,1401
FLL,SFO,UA,2583.0,-32.0,4,1401
SRQ,BOS,B6,1220.0,-16.0,4,1401
SJU,MIA,AA,1045.0,2.0,4,1401
IAH,SHV,EV,192.0,-12.0,4,1401
LBB,DEN,EV,456.0,152.0,4,1401
SFO,SAT,OO,1482.0,10.0,4,1401
DAB,ATL,DL,366.0,-13.0,4,1402
ATL,RIC,DL,481.0,17.0,4,1402
HSV,ORD,EV,510.0,3.0,4,1402
KOA,OGG,HA,84.0,1.0,4,1402
STL,SLC,DL,1156.0,-9.0,4,1403
IAH,MLU,EV,262.0,-11.0,4,1403
ATL,TRI,EV,227.0,-10.0,4,1403
SAN,ATL,DL,1892.0,-19.0,4,1404
IAH,CMH,EV,986.0,-21.0,4,1404
AUS,DEN,F9,775.0,5.0,4,1404
OMA,ORD,OO,416.0,6.0,4,1404
JFK,SFO,UA,2586.0,-13.0,4,1405
PHX,DEN,UA,602.0,81.0,4,1405
PBI,PHL,US,951.0,1.0,4,1405
AUS,FLL,WN,1105.0,1.0,4,1405
BUF,MDW,WN,468.0,32.0,4,1405
BWI,MDW,WN,611.0,3.0,4,1405
IND,RSW,WN,945.0,3.0,4,1405
LAS,SAN,WN,258.0,12.0,4,1405
LIT,LAS,WN,1294.0,-3.0,4,1405
MHT,BWI,WN,377.0,51.0,4,1405
MKE,DCA,WN,634.0,-31.0,4,1405
ATL,CAK,WN,528.0,-8.0,4,1405
PHX,LAS,WN,255.0,6.0,4,1405
SAT,DAL,WN,248.0,9.0,4,1405
SFO,SNA,WN,372.0,-19.0,4,1405
PDX,SJC,WN,569.0,-5.0,4,1405
EWR,MCO,UA,937.0,-3.0,4,1405
SAN,ORD,UA,1723.0,-8.0,4,1405
IAH,RSW,UA,861.0,-10.0,4,1405
ORD,PHX,US,1440.0,11.0,4,1405
OGG,PHX,US,2845.0,4.0,4,1405
MIA,BWI,AA,946.0,-20.0,4,1405
MIA,IAD,AA,921.0,4.0,4,1405
DFW,STL,AA,550.0,-5.0,4,1405
BWI,DFW,AA,1217.0,15.0,4,1405
MIA,LAS,AA,2174.0,-29.0,4,1405
SEA,SFO,AS,679.0,-6.0,4,1405
GEG,SEA,AS,224.0,13.0,4,1405
SLC,SEA,DL,689.0,-9.0,4,1405
ATL,RDU,DL,356.0,-7.0,4,1405
ATL,SLC,DL,1590.0,-25.0,4,1405
ATL,HSV,DL,151.0,-14.0,4,1405
AUS,SLC,DL,1086.0,-30.0,4,1405
ATL,ORF,DL,516.0,2.0,4,1405
LGA,MCO,DL,950.0,-19.0,4,1405
LAX,JFK,DL,2475.0,-19.0,4,1405
BZN,ATL,DL,1640.0,-14.0,4,1405
SLC,LAS,DL,368.0,-15.0,4,1405
DFW,LFT,EV,351.0,23.0,4,1405
SDF,ATL,EV,321.0,-20.0,4,1405
DFW,CHS,MQ,987.0,15.0,4,1405
CMH,ORD,MQ,296.0,56.0,4,1405
TYS,LGA,MQ,647.0,11.0,4,1405
FAT,SFO,OO,158.0,-18.0,4,1405
SFO,TUS,OO,751.0,7.0,4,1405
ROC,LGA,EV,254.0,197.0,4,1406
TPA,EWR,UA,997.0,-17.0,4,1407
FSD,ORD,EV,462.0,-5.0,4,1407
CHS,IAH,EV,925.0,-1.0,4,1407
ORD,MKE,OO,67.0,-2.0,4,1407
OGG,LAX,UA,2486.0,21.0,4,1408
SAT,SLC,DL,1087.0,-35.0,4,1408
DEN,RAP,OO,300.0,1.0,4,1408
CLT,EWR,EV,529.0,-17.0,4,1408
LFT,IAH,EV,201.0,7.0,4,1409
ISN,IAH,EV,1330.0,-10.0,4,1409
CLL,IAH,EV,74.0,-7.0,4,1409
GSO,ATL,EV,306.0,-16.0,4,1409
DEN,LAS,F9,628.0,23.0,4,1409
FLL,PHL,US,992.0,5.0,4,1410
LAX,PHL,US,2402.0,2.0,4,1410
RSW,PHL,US,993.0,-6.0,4,1410
DAL,DCA,VX,1184.0,-29.0,4,1410
BWI,TPA,WN,842.0,-6.0,4,1410
CLT,MDW,WN,584.0,-11.0,4,1410
FLL,BWI,WN,925.0,-12.0,4,1410
LAS,GEG,WN,806.0,2.0,4,1410
LAS,RNO,WN,345.0,-9.0,4,1410
LAS,SMF,WN,397.0,1.0,4,1410
LAS,TUS,WN,365.0,3.0,4,1410
MCO,BUF,WN,1011.0,33.0,4,1410
MHT,MDW,WN,838.0,2.0,4,1410
MSP,MDW,WN,349.0,-10.0,4,1410
RSW,CMH,WN,930.0,-2.0,4,1410
SAN,OAK,WN,446.0,8.0,4,1410
SJC,LAX,WN,308.0,-4.0,4,1410
SJC,ONT,WN,333.0,3.0,4,1410
STL,MCO,WN,882.0,-10.0,4,1410
TPA,HOU,WN,781.0,-9.0,4,1410
HOU,ELP,WN,677.0,0.0,4,1410
HOU,OKC,WN,419.0,15.0,4,1410
MCO,ORD,UA,1005.0,5.0,4,1410
MCO,EWR,UA,937.0,-7.0,4,1410
SEA,ORD,UA,1721.0,72.0,4,1410
PHL,DFW,US,1303.0,-5.0,4,1410
PHX,DFW,AA,868.0,55.0,4,1410
DFW,MSY,AA,447.0,23.0,4,1410
ORD,LGA,AA,733.0,1.0,4,1410
MIA,LGA,AA,1096.0,-15.0,4,1410
SJC,ORD,AA,1829.0,-10.0,4,1410
MIA,MCO,AA,192.0,-20.0,4,1410
RDU,ORD,AA,646.0,-7.0,4,1410
SEA,DCA,AS,2329.0,-20.0,4,1410
JNU,SEA,AS,909.0,-26.0,4,1410
LAX,JFK,B6,2475.0,19.0,4,1410
JFK,HOU,B6,1428.0,-12.0,4,1410
FLL,RDU,B6,680.0,-16.0,4,1410
SJU,BOS,B6,1674.0,39.0,4,1410
SEA,OGG,DL,2640.0,-6.0,4,1410
STL,ATL,DL,484.0,-21.0,4,1410
DFW,AUS,AA,190.0,12.0,4,1410
SFO,ATL,DL,2139.0,-11.0,4,1410
BTR,DFW,EV,383.0,0.0,4,1410
CRP,DFW,EV,354.0,1.0,4,1410
LCH,IAH,EV,127.0,6.0,4,1410
CRP,HRL,EV,107.0,0.0,4,1410
DEN,TYS,F9,1162.0,2.0,4,1410
DFW,HOU,MQ,247.0,57.0,4,1410
RAP,DFW,MQ,835.0,26.0,4,1410
ORD,STL,MQ,258.0,28.0,4,1410
TUL,ORD,MQ,585.0,16.0,4,1410
ORD,AZO,MQ,122.0,8.0,4,1410
DFW,SJT,MQ,229.0,0.0,4,1410
RNO,LAX,OO,391.0,7.0,4,1410
ICT,ORD,OO,588.0,12.0,4,1410
SAN,LAX,OO,109.0,-13.0,4,1410
GCC,SLC,OO,410.0,-23.0,4,1410
EGE,EWR,UA,1725.0,12.0,4,1411
EWR,MEM,EV,946.0,29.0,4,1411
PVD,IAD,EV,372.0,-20.0,4,1411
SBA,LAX,OO,89.0,6.0,4,1411
DEN,MAF,OO,563.0,47.0,4,1411
IAH,RDU,OO,1042.0,80.0,4,1411
BTV,ORD,EV,763.0,-2.0,4,1412
DHN,ATL,EV,170.0,0.0,4,1412
ORD,MCI,NK,403.0,-15.0,4,1412
